ETF_Symbol,value
ITEQ,0.000001
SKYY,0.000001
IGV,0.000003
PSJ,0.000005
IPAY,0.000006
RYT,0.000009
VGT,0.00001
IGM,0.000011
QTEC,0.000014
XLK,0.000015
FTEC,0.000017
IXN,0.000017
JHMT,0.000017
IYW,0.000027
XSW,0.00005
FDN,0.000056
FXL,0.000061
SOXX,0.000063
QQQ,0.000102
TDIV,0.000118
XT,0.000142
SMH,0.000174
PXQ,0.000303
ARKK,0.000304
PSI,0.000332
XSD,0.000585
ARKW,0.000616
PNQI,0.001148
IGN,0.001249
PSCT,0.001292
CIBR,0.001332
SOCL,0.001391
HACK,0.00319
ROBO,0.003342
PTF,0.003703
ROM,0.004747
USD,0.016442
TECL,0.02407
SOXL,0.046535
EMQQ,0.069713
XNTK,0.204037
CQQQ,0.216527
KWEB,0.262369
IEUS,4.860417
ISRA,19.494615
SCID,57.035582
SOXS,127.965452
SSG,640.900372
TECS,858.478904
REW,5323.83375